{'track_id': '5064', 'play_count': '13', 'play_date_utc': '2019-09-17T07:47:48Z', 'name': 'Rap Promoter', 'artist': 'A Tribe Called Quest'}
{'track_id': '5080', 'skip_count': '5', 'skip_date': '2019-09-17T07:47:56Z', 'name': "Jazz (We've Got)", 'artist': 'A Tribe Called Quest'}
{'track_id': '5072', 'play_count': '14', 'play_date_utc': '2019-09-17T07:52:14Z', 'name': 'Vibes and Stuff', 'artist': 'A Tribe Called Quest'}
{'track_id': '5338', 'play_count': '7', 'play_date_utc': '2019-09-17T07:55:07Z', 'name': 'Whateva Will Be', 'artist': 'A Tribe Called Quest'}
{'track_id': '5722', 'play_count': '4', 'play_date_utc': '2019-09-17T08:47:53Z', 'name': 'Luck of Lucien', 'artist': 'A Tribe Called Quest'}
{'track_id': '5062', 'play_count': '10', 'play_date_utc': '2019-09-17T08:51:30Z', 'name': "Buggin' Out", 'artist': 'A Tribe Called Quest'}
{'track_id': '5354', 'play_count': '7', 'play_date_utc': '2019-09-17T08:54:14Z', 'name': 'The Killing Season', 'artist': 'A Tribe Called Quest'}
{'track_id': '5720', 'skip_count': '3', 'skip_date': '2019-09-17T08:54:27Z', 'name': 'Push It Along', 'artist': 'A Tribe Called Quest'}
{'track_id': '5316', 'play_count': '4', 'play_date_utc': '2019-09-17T09:00:15Z', 'name': 'God Lives Through', 'artist': 'A Tribe Called Quest'}
{'track_id': '5336', 'play_count': '10', 'play_date_utc': '2019-09-17T09:03:07Z', 'name': 'We The People....', 'artist': 'A Tribe Called Quest'}
{'track_id': '5326', 'play_count': '7', 'play_date_utc': '2019-09-17T09:07:23Z', 'name': 'Oh My God', 'artist': 'A Tribe Called Quest ft. Busta Rhymes'}
{'track_id': '5074', 'skip_count': '6', 'skip_date': '2019-09-17T09:12:20Z', 'name': 'The Infamous Date Rape', 'artist': 'A Tribe Called Quest'}
{'track_id': '5226', 'skip_count': '2', 'skip_date': '2019-09-17T09:12:42Z', 'name': 'Venus', 'artist': 'Television'}
{'track_id': '5334', 'skip_count': '2', 'skip_date': '2019-09-17T09:12:33Z', 'name': 'The Space Program', 'artist': 'A Tribe Called Quest'}
{'track_id': '5736', 'play_count': '8', 'play_date_utc': '2019-09-17T09:12:18Z', 'name': 'Youthful Expression', 'artist': 'A Tribe Called Quest'}
{'track_id': '77998', 'play_count': '14', 'play_date_utc': '2019-09-17T09:15:47Z', 'name': 'Rapapapa', 'artist': 'Rich Brian'}
{'track_id': '998', 'play_count': '95', 'play_date_utc': '2019-09-17T09:19:41Z', 'name': "Pumpkin Party in Sea Hitler's Water Apocalypse", 'artist': 'Malcolm Brown'}
{'track_id': '1672', 'play_count': '26', 'play_date_utc': '2019-09-17T09:21:08Z', 'name': 'Crazy Dave', 'artist': 'Laura Shigihara'}
{'track_id': '5718', 'play_count': '4', 'play_date_utc': '2019-09-17T09:25:12Z', 'name': 'Puff Daddy', 'artist': 'JPEGMAFIA &#38; Kenny Beats'}
{'track_id': '3126', 'play_count': '163', 'play_date_utc': '2019-09-17T09:34:22Z', 'name': 'Roundabout', 'artist': 'Yes'}
{'track_id': '4848', 'play_count': '5', 'play_date_utc': '2019-09-17T09:43:03Z', 'name': 'Dance Yrself Clean', 'artist': 'LCD Soundsystem'}
{'track_id': '5674', 'skip_count': '2', 'skip_date': '2019-09-17T09:43:21Z', 'name': 'The World Is Yours', 'artist': 'Nas'}
{'track_id': '4642', 'play_count': '4', 'play_date_utc': '2019-09-17T09:46:27Z', 'name': 'Anoxia', 'artist': 'King Gizzard &#38; The Lizard Wizard'}
